,year,selling_price,km_driven,StateorProvince,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,sold,Region,brand
0,2014,450000,145500,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,23.4,1248,74,5,Y,East,MARUTI
1,2019,1149000,5000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17,1591,121.3,5,Y,East,HYUNDAI
2,2017,600000,25000,District of Columbia,Washington,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5,Y,East,FORD
3,2016,540000,40000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,22,1498,108.495,5,Y,East,VOLKSWAGEN
4,2015,630000,135000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5,Y,East,HONDA
5,2018,448000,30000,District of Columbia,Washington,Petrol,Individual,Automatic,First Owner,20.51,998,67,5,Y,East,MARUTI
6,2009,185000,77000,District of Columbia,Washington,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5,Y,East,MARUTI
7,2010,200000,100000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,18.8,1248,90,5,Y,East,TATA
8,2019,615000,10000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5,Y,East,MARUTI
9,2014,400000,70000,District of Columbia,Washington,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5,Y,East,NISSAN
10,2015,700000,110000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7,Y,East,MARUTI
11,2019,690000,1303,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5,Y,East,HONDA
12,2013,625000,39000,District of Columbia,Washington,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5,Y,East,TOYOTA
13,2018,3400000,22000,District of Columbia,Washington,Diesel,Dealer,Automatic,First Owner,18,1969,190,5,Y,East,VOLVO
14,2010,975000,72200,District of Columbia,Washington,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150,5,Y,East,BMW
15,2016,805000,49900,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5,Y,East,HYUNDAI
16,2011,375000,49000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5,Y,East,VOLKSWAGEN
17,2016,2900000,12000,District of Columbia,Washington,Diesel,Dealer,Automatic,First Owner,18.12,1995,190,5,Y,East,BMW
18,2015,390000,50000,District of Columbia,Washington,Petrol,Individual,Automatic,Second Owner,20.51,998,67,5,Y,East,MARUTI
19,1999,40000,40000,District of Columbia,Washington,Petrol,Individual,Manual,Second Owner,16.1,796,37,4,Y,East,MARUTI
20,2010,220000,120000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5,Y,East,MARUTI
21,2016,270000,44000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,Y,East,RENAULT
22,2015,640000,80000,District of Columbia,Washington,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7,Y,East,MARUTI
23,2017,409999,13500,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,15.37,1196,73,5,Y,East,MARUTI
24,2011,165000,75000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5,Y,East,HYUNDAI
25,2014,335000,33033,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,5,Y,East,HONDA
26,2015,465000,63063,District of Columbia,Washington,Petrol,Dealer,Automatic,First Owner,18.9,1197,82,5,Y,East,HYUNDAI
27,2007,210000,207890,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,13.6,2523,63,7,Y,East,MAHINDRA
28,2016,229999,40000,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5,Y,East,RENAULT
29,2013,800000,160000,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,8,Y,East,TOYOTA
